epochs,mf_loss,reg_loss,loss,recall,precision,train_time,eval_time
178,0.00684,0.01453,0.02136,0.3591,0.1449,34.39,0.35224175453186035
179,0.00732,0.0145,0.02181,0.3561,0.1442,34.18,0.3425929546356201
180,0.00701,0.01453,0.02154,0.3546,0.1435,34.1,0.6885781288146973
181,0.00705,0.01455,0.0216,0.3522,0.1423,33.91,0.3769867420196533
182,0.00667,0.01454,0.02121,0.3528,0.1428,34.63,0.37694621086120605
183,0.00717,0.01455,0.02171,0.3565,0.144,35.67,0.3607649803161621
184,0.00675,0.01455,0.0213,0.3549,0.1433,34.0,0.381397008895874
185,0.00711,0.01457,0.02169,0.3535,0.1428,34.51,0.35501980781555176
186,0.007,0.01459,0.0216,0.353,0.1429,34.13,0.3530440330505371
187,0.00684,0.01461,0.02145,0.3536,0.1426,34.37,0.3622591495513916
188,0.00716,0.01461,0.02177,0.3568,0.1448,34.29,0.3444550037384033
189,0.00689,0.01459,0.02148,0.3548,0.1433,34.32,0.3467280864715576
190,0.00742,0.0146,0.02202,0.3542,0.1432,34.13,0.63875412940979
191,0.00704,0.01458,0.02161,0.3599,0.1451,34.3,0.35889506340026855
192,0.0068,0.01456,0.02135,0.3616,0.146,34.21,0.35013604164123535
193,0.00695,0.01456,0.0215,0.3609,0.1461,34.41,0.3760991096496582
194,0.00691,0.01457,0.02147,0.361,0.1462,34.3,0.34395432472229004
195,0.00705,0.01454,0.02159,0.3585,0.1456,34.55,0.3577120304107666
196,0.00691,0.01454,0.02145,0.3597,0.1457,34.2,0.3536198139190674
197,0.00693,0.01457,0.0215,0.3543,0.1437,34.29,0.38091301918029785
198,0.00693,0.01455,0.02148,0.3563,0.1441,34.14,0.3710362911224365
199,0.00725,0.01454,0.02179,0.3582,0.1448,34.18,0.367279052734375
200,0.0072,0.01459,0.02179,0.3593,0.1449,34.67,0.6617627143859863
201,0.00713,0.0146,0.02173,0.3567,0.145,34.34,0.3547236919403076
202,0.00696,0.01457,0.02153,0.3576,0.1451,34.52,0.3435351848602295
203,0.00673,0.01455,0.02129,0.3572,0.1448,34.27,0.34285783767700195
204,0.00687,0.01455,0.02142,0.3577,0.145,34.68,0.3480658531188965
205,0.00666,0.01453,0.0212,0.3589,0.1463,34.25,0.3658928871154785
206,0.00705,0.01454,0.02159,0.3601,0.1463,34.33,0.3591470718383789
207,0.00697,0.01454,0.02151,0.3586,0.1453,34.74,0.4146089553833008
208,0.00697,0.01453,0.02151,0.3581,0.1449,34.6,0.3645789623260498
209,0.00704,0.01454,0.02158,0.3569,0.1447,34.13,0.3491780757904053
210,0.00745,0.01453,0.02198,0.3571,0.1448,34.51,0.6479220390319824
211,0.00702,0.01457,0.0216,0.3616,0.1466,34.2,0.3612987995147705
212,0.00707,0.0146,0.02167,0.358,0.1458,34.58,0.3588078022003174
213,0.00717,0.01459,0.02176,0.3585,0.1457,34.11,0.34799718856811523
214,0.00703,0.01458,0.0216,0.3595,0.1458,34.5,0.34770679473876953
215,0.00663,0.01454,0.02117,0.3628,0.1471,34.2,0.3481407165527344
216,0.0067,0.01451,0.02122,0.3563,0.1449,34.62,0.34416890144348145
217,0.00715,0.0145,0.02165,0.357,0.1451,34.19,0.3448042869567871
218,0.00696,0.01451,0.02146,0.3583,0.1451,34.65,0.36365175247192383
219,0.00703,0.01451,0.02154,0.3563,0.145,34.63,0.38874006271362305
220,0.00719,0.01453,0.02172,0.3544,0.1445,34.02,0.35079097747802734
221,0.00705,0.01452,0.02157,0.359,0.1457,34.67,0.6410501003265381
222,0.00725,0.01456,0.0218,0.362,0.1464,34.58,0.3540358543395996
223,0.00714,0.0146,0.02174,0.3602,0.1459,34.58,0.36820197105407715
224,0.00668,0.0146,0.02128,0.3606,0.1465,34.2,0.3497960567474365
225,0.00705,0.01457,0.02162,0.3636,0.1464,34.62,0.4607398509979248
226,0.00691,0.01455,0.02146,0.361,0.1466,34.26,0.3552992343902588
227,0.00676,0.01451,0.02127,0.3601,0.146,34.41,0.3476579189300537
228,0.00704,0.01451,0.02155,0.3608,0.1462,34.35,0.3484151363372803
229,0.00689,0.0145,0.02139,0.3609,0.1461,34.45,0.3925807476043701
230,0.00691,0.0145,0.02141,0.3599,0.1462,34.47,0.6554491519927979
231,0.00672,0.01448,0.0212,0.3623,0.147,34.49,0.386563777923584
232,0.0071,0.01448,0.02158,0.3573,0.1456,34.06,0.37082695960998535
233,0.00643,0.01449,0.02092,0.356,0.1447,34.56,0.36341094970703125
234,0.00708,0.0145,0.02158,0.3554,0.1449,34.32,0.3530089855194092
235,0.00692,0.01449,0.0214,0.3571,0.1453,34.39,0.3556828498840332
236,0.00666,0.01449,0.02114,0.3593,0.1456,34.28,0.3733489513397217
237,0.00673,0.01447,0.0212,0.3591,0.1457,34.78,0.3494689464569092
238,0.00673,0.01444,0.02117,0.3554,0.144,34.66,0.3643970489501953
239,0.00698,0.01445,0.02142,0.3553,0.1443,34.19,0.35402798652648926
240,0.00702,0.01448,0.0215,0.355,0.1439,34.78,0.3516969680786133
241,0.00707,0.01449,0.02156,0.3569,0.1452,34.63,0.6452999114990234
242,0.00642,0.01446,0.02088,0.3573,0.1442,34.71,0.36907434463500977
243,0.00711,0.01447,0.02158,0.3567,0.144,34.52,0.555621862411499
244,0.00695,0.01448,0.02143,0.355,0.1437,34.64,0.38962578773498535
245,0.00714,0.01449,0.02163,0.3544,0.1433,34.44,0.3587980270385742
246,0.00688,0.0145,0.02138,0.3541,0.1437,35.15,0.3495340347290039
247,0.00698,0.0145,0.02148,0.3557,0.1448,34.28,0.5644991397857666
248,0.00716,0.01452,0.02168,0.3565,0.1449,34.57,0.41207289695739746
249,0.00655,0.0145,0.02106,0.355,0.144,41.43,0.5096609592437744
250,0.00671,0.01449,0.0212,0.3579,0.1455,41.24,0.4317128658294678
251,0.00711,0.01446,0.02157,0.3575,0.1455,39.26,0.7603199481964111
252,0.00679,0.01447,0.02126,0.3575,0.1456,35.49,0.36086606979370117
253,0.00687,0.01446,0.02134,0.3539,0.1437,39.97,0.40848326683044434
254,0.00686,0.01449,0.02135,0.3547,0.1433,34.36,0.37123775482177734
255,0.00698,0.01452,0.0215,0.351,0.1422,34.87,0.3802449703216553
256,0.00699,0.01451,0.02151,0.3534,0.1431,34.33,0.4900698661804199
257,0.0072,0.01452,0.02172,0.3523,0.1426,35.54,0.4006481170654297
